# Full data listing for the real world dataset
# Data Directory: 
Test_Data/rw4/, DfD/data/rw4/, Projects/rw_data/
# Data: 
#------------------------------------------------------
k01/left/exp_10/image_141_10.00.png, k01/left/exp_10/image_129_10.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_20/image_141_20.00.png, k01/left/exp_20/image_129_20.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_30/image_141_30.00.png, k01/left/exp_30/image_129_30.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_40/image_141_40.00.png, k01/left/exp_40/image_129_40.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_50/image_141_50.00.png, k01/left/exp_50/image_129_50.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_60/image_141_60.00.png, k01/left/exp_60/image_129_60.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_70/image_141_70.00.png, k01/left/exp_70/image_129_70.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k02/left/exp_10/image_141_10.00.png, k02/left/exp_10/image_129_10.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_20/image_141_20.00.png, k02/left/exp_20/image_129_20.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_30/image_141_30.00.png, k02/left/exp_30/image_129_30.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_40/image_141_40.00.png, k02/left/exp_40/image_129_40.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_50/image_141_50.00.png, k02/left/exp_50/image_129_50.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_60/image_141_60.00.png, k02/left/exp_60/image_129_60.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_70/image_141_70.00.png, k02/left/exp_70/image_129_70.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k03/left/exp_10/image_141_10.00.png, k03/left/exp_10/image_129_10.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_20/image_141_20.00.png, k03/left/exp_20/image_129_20.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_30/image_141_30.00.png, k03/left/exp_30/image_129_30.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_40/image_141_40.00.png, k03/left/exp_40/image_129_40.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_50/image_141_50.00.png, k03/left/exp_50/image_129_50.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_60/image_141_60.00.png, k03/left/exp_60/image_129_60.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_70/image_141_70.00.png, k03/left/exp_70/image_129_70.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k05/left/exp_10/image_141_10.00.png, k05/left/exp_10/image_129_10.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_20/image_141_20.00.png, k05/left/exp_20/image_129_20.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_30/image_141_30.00.png, k05/left/exp_30/image_129_30.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_40/image_141_40.00.png, k05/left/exp_40/image_129_40.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_50/image_141_50.00.png, k05/left/exp_50/image_129_50.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_60/image_141_60.00.png, k05/left/exp_60/image_129_60.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_70/image_141_70.00.png, k05/left/exp_70/image_129_70.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k06/left/exp_10/image_141_10.00.png, k06/left/exp_10/image_129_10.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_20/image_141_20.00.png, k06/left/exp_20/image_129_20.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_30/image_141_30.00.png, k06/left/exp_30/image_129_30.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_40/image_141_40.00.png, k06/left/exp_40/image_129_40.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_50/image_141_50.00.png, k06/left/exp_50/image_129_50.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_60/image_141_60.00.png, k06/left/exp_60/image_129_60.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_70/image_141_70.00.png, k06/left/exp_70/image_129_70.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k07/left/exp_10/image_141_10.00.png, k07/left/exp_10/image_129_10.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_20/image_141_20.00.png, k07/left/exp_20/image_129_20.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_30/image_141_30.00.png, k07/left/exp_30/image_129_30.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_40/image_141_40.00.png, k07/left/exp_40/image_129_40.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_50/image_141_50.00.png, k07/left/exp_50/image_129_50.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_60/image_141_60.00.png, k07/left/exp_60/image_129_60.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_70/image_141_70.00.png, k07/left/exp_70/image_129_70.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k09/left/exp_10/image_141_10.00.png, k09/left/exp_10/image_129_10.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_20/image_141_20.00.png, k09/left/exp_20/image_129_20.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_30/image_141_30.00.png, k09/left/exp_30/image_129_30.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_40/image_141_40.00.png, k09/left/exp_40/image_129_40.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_50/image_141_50.00.png, k09/left/exp_50/image_129_50.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_60/image_141_60.00.png, k09/left/exp_60/image_129_60.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_70/image_141_70.00.png, k09/left/exp_70/image_129_70.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k10/left/exp_10/image_141_10.00.png, k10/left/exp_10/image_129_10.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_20/image_141_20.00.png, k10/left/exp_20/image_129_20.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_30/image_141_30.00.png, k10/left/exp_30/image_129_30.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_40/image_141_40.00.png, k10/left/exp_40/image_129_40.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_50/image_141_50.00.png, k10/left/exp_50/image_129_50.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_60/image_141_60.00.png, k10/left/exp_60/image_129_60.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_70/image_141_70.00.png, k10/left/exp_70/image_129_70.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k11/left/exp_10/image_141_10.00.png, k11/left/exp_10/image_129_10.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_20/image_141_20.00.png, k11/left/exp_20/image_129_20.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_30/image_141_30.00.png, k11/left/exp_30/image_129_30.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_40/image_141_40.00.png, k11/left/exp_40/image_129_40.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_50/image_141_50.00.png, k11/left/exp_50/image_129_50.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_60/image_141_60.00.png, k11/left/exp_60/image_129_60.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_70/image_141_70.00.png, k11/left/exp_70/image_129_70.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k13/left/exp_10/image_141_10.00.png, k13/left/exp_10/image_129_10.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_20/image_141_20.00.png, k13/left/exp_20/image_129_20.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_30/image_141_30.00.png, k13/left/exp_30/image_129_30.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_40/image_141_40.00.png, k13/left/exp_40/image_129_40.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_50/image_141_50.00.png, k13/left/exp_50/image_129_50.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_60/image_141_60.00.png, k13/left/exp_60/image_129_60.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_70/image_141_70.00.png, k13/left/exp_70/image_129_70.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k14/left/exp_10/image_141_10.00.png, k14/left/exp_10/image_129_10.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_20/image_141_20.00.png, k14/left/exp_20/image_129_20.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_30/image_141_30.00.png, k14/left/exp_30/image_129_30.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_40/image_141_40.00.png, k14/left/exp_40/image_129_40.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_50/image_141_50.00.png, k14/left/exp_50/image_129_50.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_60/image_141_60.00.png, k14/left/exp_60/image_129_60.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_70/image_141_70.00.png, k14/left/exp_70/image_129_70.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k15/left/exp_10/image_141_10.00.png, k15/left/exp_10/image_129_10.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_20/image_141_20.00.png, k15/left/exp_20/image_129_20.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_30/image_141_30.00.png, k15/left/exp_30/image_129_30.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_40/image_141_40.00.png, k15/left/exp_40/image_129_40.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_50/image_141_50.00.png, k15/left/exp_50/image_129_50.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_60/image_141_60.00.png, k15/left/exp_60/image_129_60.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_70/image_141_70.00.png, k15/left/exp_70/image_129_70.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k17/left/exp_10/image_141_10.00.png, k17/left/exp_10/image_129_10.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_20/image_141_20.00.png, k17/left/exp_20/image_129_20.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_30/image_141_30.00.png, k17/left/exp_30/image_129_30.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_40/image_141_40.00.png, k17/left/exp_40/image_129_40.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_50/image_141_50.00.png, k17/left/exp_50/image_129_50.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_60/image_141_60.00.png, k17/left/exp_60/image_129_60.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_70/image_141_70.00.png, k17/left/exp_70/image_129_70.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k18/left/exp_10/image_141_10.00.png, k18/left/exp_10/image_129_10.00.png, k18/lidar/lidar_rng_left_00000_8bit_x6d6.png
k18/left/exp_20/image_141_20.00.png, k18/left/exp_20/image_129_20.00.png, k18/lidar/lidar_rng_left_00000_8bit_x6d6.png
k18/left/exp_30/image_141_30.00.png, k18/left/exp_30/image_129_30.00.png, k18/lidar/lidar_rng_left_00000_8bit_x6d6.png
k18/left/exp_40/image_141_40.00.png, k18/left/exp_40/image_129_40.00.png, k18/lidar/lidar_rng_left_00000_8bit_x6d6.png
k18/left/exp_50/image_141_50.00.png, k18/left/exp_50/image_129_50.00.png, k18/lidar/lidar_rng_left_00000_8bit_x6d6.png
k18/left/exp_60/image_141_60.00.png, k18/left/exp_60/image_129_60.00.png, k18/lidar/lidar_rng_left_00000_8bit_x6d6.png
k18/left/exp_70/image_141_70.00.png, k18/left/exp_70/image_129_70.00.png, k18/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k19/left/exp_10/image_141_10.00.png, k19/left/exp_10/image_129_10.00.png, k19/lidar/lidar_rng_left_00000_8bit_x6d6.png
k19/left/exp_20/image_141_20.00.png, k19/left/exp_20/image_129_20.00.png, k19/lidar/lidar_rng_left_00000_8bit_x6d6.png
k19/left/exp_30/image_141_30.00.png, k19/left/exp_30/image_129_30.00.png, k19/lidar/lidar_rng_left_00000_8bit_x6d6.png
k19/left/exp_40/image_141_40.00.png, k19/left/exp_40/image_129_40.00.png, k19/lidar/lidar_rng_left_00000_8bit_x6d6.png
k19/left/exp_50/image_141_50.00.png, k19/left/exp_50/image_129_50.00.png, k19/lidar/lidar_rng_left_00000_8bit_x6d6.png
k19/left/exp_60/image_141_60.00.png, k19/left/exp_60/image_129_60.00.png, k19/lidar/lidar_rng_left_00000_8bit_x6d6.png
k19/left/exp_70/image_141_70.00.png, k19/left/exp_70/image_129_70.00.png, k19/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k21/left/exp_10/image_141_10.00.png, k21/left/exp_10/image_129_10.00.png, k21/lidar/lidar_rng_left_00000_8bit_x6d6.png
k21/left/exp_20/image_141_20.00.png, k21/left/exp_20/image_129_20.00.png, k21/lidar/lidar_rng_left_00000_8bit_x6d6.png
k21/left/exp_30/image_141_30.00.png, k21/left/exp_30/image_129_30.00.png, k21/lidar/lidar_rng_left_00000_8bit_x6d6.png
k21/left/exp_40/image_141_40.00.png, k21/left/exp_40/image_129_40.00.png, k21/lidar/lidar_rng_left_00000_8bit_x6d6.png
k21/left/exp_50/image_141_50.00.png, k21/left/exp_50/image_129_50.00.png, k21/lidar/lidar_rng_left_00000_8bit_x6d6.png
k21/left/exp_60/image_141_60.00.png, k21/left/exp_60/image_129_60.00.png, k21/lidar/lidar_rng_left_00000_8bit_x6d6.png
k21/left/exp_70/image_141_70.00.png, k21/left/exp_70/image_129_70.00.png, k21/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k22/left/exp_10/image_141_10.00.png, k22/left/exp_10/image_129_10.00.png, k22/lidar/lidar_rng_left_00000_8bit_x6d6.png
k22/left/exp_20/image_141_20.00.png, k22/left/exp_20/image_129_20.00.png, k22/lidar/lidar_rng_left_00000_8bit_x6d6.png
k22/left/exp_30/image_141_30.00.png, k22/left/exp_30/image_129_30.00.png, k22/lidar/lidar_rng_left_00000_8bit_x6d6.png
k22/left/exp_40/image_141_40.00.png, k22/left/exp_40/image_129_40.00.png, k22/lidar/lidar_rng_left_00000_8bit_x6d6.png
k22/left/exp_50/image_141_50.00.png, k22/left/exp_50/image_129_50.00.png, k22/lidar/lidar_rng_left_00000_8bit_x6d6.png
k22/left/exp_60/image_141_60.00.png, k22/left/exp_60/image_129_60.00.png, k22/lidar/lidar_rng_left_00000_8bit_x6d6.png
k22/left/exp_70/image_141_70.00.png, k22/left/exp_70/image_129_70.00.png, k22/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k23/left/exp_10/image_141_10.00.png, k23/left/exp_10/image_129_10.00.png, k23/lidar/lidar_rng_left_00000_8bit_x6d6.png
k23/left/exp_20/image_141_20.00.png, k23/left/exp_20/image_129_20.00.png, k23/lidar/lidar_rng_left_00000_8bit_x6d6.png
k23/left/exp_30/image_141_30.00.png, k23/left/exp_30/image_129_30.00.png, k23/lidar/lidar_rng_left_00000_8bit_x6d6.png
k23/left/exp_40/image_141_40.00.png, k23/left/exp_40/image_129_40.00.png, k23/lidar/lidar_rng_left_00000_8bit_x6d6.png
k23/left/exp_50/image_141_50.00.png, k23/left/exp_50/image_129_50.00.png, k23/lidar/lidar_rng_left_00000_8bit_x6d6.png
k23/left/exp_60/image_141_60.00.png, k23/left/exp_60/image_129_60.00.png, k23/lidar/lidar_rng_left_00000_8bit_x6d6.png
