# Full data listing for the real world dataset
# Data Directory: 
Test_Data/rw4/, DfD/data/rw4/, Projects/rw_data/
# Data: 
#------------------------------------------------------
k00/left/exp_10/image_135_10.00.png, k00/left/exp_10/image_127_10.00.png, k00/lidar/lidar_rng_left_00000_8bit_x6d6.png
k00/left/exp_20/image_135_20.00.png, k00/left/exp_20/image_127_20.00.png, k00/lidar/lidar_rng_left_00000_8bit_x6d6.png
k00/left/exp_30/image_135_30.00.png, k00/left/exp_30/image_127_30.00.png, k00/lidar/lidar_rng_left_00000_8bit_x6d6.png
k00/left/exp_40/image_135_40.00.png, k00/left/exp_40/image_127_40.00.png, k00/lidar/lidar_rng_left_00000_8bit_x6d6.png
k00/left/exp_50/image_135_50.00.png, k00/left/exp_50/image_127_50.00.png, k00/lidar/lidar_rng_left_00000_8bit_x6d6.png
k00/left/exp_60/image_135_60.00.png, k00/left/exp_60/image_127_60.00.png, k00/lidar/lidar_rng_left_00000_8bit_x6d6.png
k00/left/exp_70/image_135_70.00.png, k00/left/exp_70/image_127_70.00.png, k00/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k01/left/exp_10/image_135_10.00.png, k01/left/exp_10/image_127_10.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_20/image_135_20.00.png, k01/left/exp_20/image_127_20.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_30/image_135_30.00.png, k01/left/exp_30/image_127_30.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_40/image_135_40.00.png, k01/left/exp_40/image_127_40.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_50/image_135_50.00.png, k01/left/exp_50/image_127_50.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_60/image_135_60.00.png, k01/left/exp_60/image_127_60.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
k01/left/exp_70/image_135_70.00.png, k01/left/exp_70/image_127_70.00.png, k01/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k02/left/exp_10/image_135_10.00.png, k02/left/exp_10/image_127_10.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_20/image_135_20.00.png, k02/left/exp_20/image_127_20.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_30/image_135_30.00.png, k02/left/exp_30/image_127_30.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_40/image_135_40.00.png, k02/left/exp_40/image_127_40.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_50/image_135_50.00.png, k02/left/exp_50/image_127_50.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_60/image_135_60.00.png, k02/left/exp_60/image_127_60.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
k02/left/exp_70/image_135_70.00.png, k02/left/exp_70/image_127_70.00.png, k02/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k03/left/exp_10/image_135_10.00.png, k03/left/exp_10/image_127_10.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_20/image_135_20.00.png, k03/left/exp_20/image_127_20.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_30/image_135_30.00.png, k03/left/exp_30/image_127_30.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_40/image_135_40.00.png, k03/left/exp_40/image_127_40.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_50/image_135_50.00.png, k03/left/exp_50/image_127_50.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_60/image_135_60.00.png, k03/left/exp_60/image_127_60.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
k03/left/exp_70/image_135_70.00.png, k03/left/exp_70/image_127_70.00.png, k03/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k04/left/exp_10/image_135_10.00.png, k04/left/exp_10/image_127_10.00.png, k04/lidar/lidar_rng_left_00000_8bit_x6d6.png
k04/left/exp_20/image_135_20.00.png, k04/left/exp_20/image_127_20.00.png, k04/lidar/lidar_rng_left_00000_8bit_x6d6.png
k04/left/exp_30/image_135_30.00.png, k04/left/exp_30/image_127_30.00.png, k04/lidar/lidar_rng_left_00000_8bit_x6d6.png
k04/left/exp_40/image_135_40.00.png, k04/left/exp_40/image_127_40.00.png, k04/lidar/lidar_rng_left_00000_8bit_x6d6.png
k04/left/exp_50/image_135_50.00.png, k04/left/exp_50/image_127_50.00.png, k04/lidar/lidar_rng_left_00000_8bit_x6d6.png
k04/left/exp_60/image_135_60.00.png, k04/left/exp_60/image_127_60.00.png, k04/lidar/lidar_rng_left_00000_8bit_x6d6.png
k04/left/exp_70/image_135_70.00.png, k04/left/exp_70/image_127_70.00.png, k04/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k05/left/exp_10/image_135_10.00.png, k05/left/exp_10/image_127_10.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_20/image_135_20.00.png, k05/left/exp_20/image_127_20.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_30/image_135_30.00.png, k05/left/exp_30/image_127_30.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_40/image_135_40.00.png, k05/left/exp_40/image_127_40.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_50/image_135_50.00.png, k05/left/exp_50/image_127_50.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_60/image_135_60.00.png, k05/left/exp_60/image_127_60.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
k05/left/exp_70/image_135_70.00.png, k05/left/exp_70/image_127_70.00.png, k05/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k06/left/exp_10/image_135_10.00.png, k06/left/exp_10/image_127_10.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_20/image_135_20.00.png, k06/left/exp_20/image_127_20.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_30/image_135_30.00.png, k06/left/exp_30/image_127_30.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_40/image_135_40.00.png, k06/left/exp_40/image_127_40.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_50/image_135_50.00.png, k06/left/exp_50/image_127_50.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_60/image_135_60.00.png, k06/left/exp_60/image_127_60.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
k06/left/exp_70/image_135_70.00.png, k06/left/exp_70/image_127_70.00.png, k06/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k07/left/exp_10/image_135_10.00.png, k07/left/exp_10/image_127_10.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_20/image_135_20.00.png, k07/left/exp_20/image_127_20.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_30/image_135_30.00.png, k07/left/exp_30/image_127_30.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_40/image_135_40.00.png, k07/left/exp_40/image_127_40.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_50/image_135_50.00.png, k07/left/exp_50/image_127_50.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_60/image_135_60.00.png, k07/left/exp_60/image_127_60.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
k07/left/exp_70/image_135_70.00.png, k07/left/exp_70/image_127_70.00.png, k07/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k08/left/exp_10/image_135_10.00.png, k08/left/exp_10/image_127_10.00.png, k08/lidar/lidar_rng_left_00000_8bit_x6d6.png
k08/left/exp_20/image_135_20.00.png, k08/left/exp_20/image_127_20.00.png, k08/lidar/lidar_rng_left_00000_8bit_x6d6.png
k08/left/exp_30/image_135_30.00.png, k08/left/exp_30/image_127_30.00.png, k08/lidar/lidar_rng_left_00000_8bit_x6d6.png
k08/left/exp_40/image_135_40.00.png, k08/left/exp_40/image_127_40.00.png, k08/lidar/lidar_rng_left_00000_8bit_x6d6.png
k08/left/exp_50/image_135_50.00.png, k08/left/exp_50/image_127_50.00.png, k08/lidar/lidar_rng_left_00000_8bit_x6d6.png
k08/left/exp_60/image_135_60.00.png, k08/left/exp_60/image_127_60.00.png, k08/lidar/lidar_rng_left_00000_8bit_x6d6.png
k08/left/exp_70/image_135_70.00.png, k08/left/exp_70/image_127_70.00.png, k08/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k09/left/exp_10/image_135_10.00.png, k09/left/exp_10/image_127_10.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_20/image_135_20.00.png, k09/left/exp_20/image_127_20.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_30/image_135_30.00.png, k09/left/exp_30/image_127_30.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_40/image_135_40.00.png, k09/left/exp_40/image_127_40.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_50/image_135_50.00.png, k09/left/exp_50/image_127_50.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_60/image_135_60.00.png, k09/left/exp_60/image_127_60.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
k09/left/exp_70/image_135_70.00.png, k09/left/exp_70/image_127_70.00.png, k09/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k10/left/exp_10/image_135_10.00.png, k10/left/exp_10/image_127_10.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_20/image_135_20.00.png, k10/left/exp_20/image_127_20.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_30/image_135_30.00.png, k10/left/exp_30/image_127_30.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_40/image_135_40.00.png, k10/left/exp_40/image_127_40.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_50/image_135_50.00.png, k10/left/exp_50/image_127_50.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_60/image_135_60.00.png, k10/left/exp_60/image_127_60.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
k10/left/exp_70/image_135_70.00.png, k10/left/exp_70/image_127_70.00.png, k10/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k11/left/exp_10/image_135_10.00.png, k11/left/exp_10/image_127_10.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_20/image_135_20.00.png, k11/left/exp_20/image_127_20.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_30/image_135_30.00.png, k11/left/exp_30/image_127_30.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_40/image_135_40.00.png, k11/left/exp_40/image_127_40.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_50/image_135_50.00.png, k11/left/exp_50/image_127_50.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_60/image_135_60.00.png, k11/left/exp_60/image_127_60.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
k11/left/exp_70/image_135_70.00.png, k11/left/exp_70/image_127_70.00.png, k11/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k12/left/exp_10/image_135_10.00.png, k12/left/exp_10/image_127_10.00.png, k12/lidar/lidar_rng_left_00000_8bit_x6d6.png
k12/left/exp_20/image_135_20.00.png, k12/left/exp_20/image_127_20.00.png, k12/lidar/lidar_rng_left_00000_8bit_x6d6.png
k12/left/exp_30/image_135_30.00.png, k12/left/exp_30/image_127_30.00.png, k12/lidar/lidar_rng_left_00000_8bit_x6d6.png
k12/left/exp_40/image_135_40.00.png, k12/left/exp_40/image_127_40.00.png, k12/lidar/lidar_rng_left_00000_8bit_x6d6.png
k12/left/exp_50/image_135_50.00.png, k12/left/exp_50/image_127_50.00.png, k12/lidar/lidar_rng_left_00000_8bit_x6d6.png
k12/left/exp_60/image_135_60.00.png, k12/left/exp_60/image_127_60.00.png, k12/lidar/lidar_rng_left_00000_8bit_x6d6.png
k12/left/exp_70/image_135_70.00.png, k12/left/exp_70/image_127_70.00.png, k12/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k13/left/exp_10/image_135_10.00.png, k13/left/exp_10/image_127_10.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_20/image_135_20.00.png, k13/left/exp_20/image_127_20.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_30/image_135_30.00.png, k13/left/exp_30/image_127_30.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_40/image_135_40.00.png, k13/left/exp_40/image_127_40.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_50/image_135_50.00.png, k13/left/exp_50/image_127_50.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_60/image_135_60.00.png, k13/left/exp_60/image_127_60.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
k13/left/exp_70/image_135_70.00.png, k13/left/exp_70/image_127_70.00.png, k13/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k14/left/exp_10/image_135_10.00.png, k14/left/exp_10/image_127_10.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_20/image_135_20.00.png, k14/left/exp_20/image_127_20.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_30/image_135_30.00.png, k14/left/exp_30/image_127_30.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_40/image_135_40.00.png, k14/left/exp_40/image_127_40.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_50/image_135_50.00.png, k14/left/exp_50/image_127_50.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_60/image_135_60.00.png, k14/left/exp_60/image_127_60.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
k14/left/exp_70/image_135_70.00.png, k14/left/exp_70/image_127_70.00.png, k14/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k15/left/exp_10/image_135_10.00.png, k15/left/exp_10/image_127_10.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_20/image_135_20.00.png, k15/left/exp_20/image_127_20.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_30/image_135_30.00.png, k15/left/exp_30/image_127_30.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_40/image_135_40.00.png, k15/left/exp_40/image_127_40.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_50/image_135_50.00.png, k15/left/exp_50/image_127_50.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_60/image_135_60.00.png, k15/left/exp_60/image_127_60.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
k15/left/exp_70/image_135_70.00.png, k15/left/exp_70/image_127_70.00.png, k15/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k16/left/exp_10/image_135_10.00.png, k16/left/exp_10/image_127_10.00.png, k16/lidar/lidar_rng_left_00000_8bit_x6d6.png
k16/left/exp_20/image_135_20.00.png, k16/left/exp_20/image_127_20.00.png, k16/lidar/lidar_rng_left_00000_8bit_x6d6.png
k16/left/exp_30/image_135_30.00.png, k16/left/exp_30/image_127_30.00.png, k16/lidar/lidar_rng_left_00000_8bit_x6d6.png
k16/left/exp_40/image_135_40.00.png, k16/left/exp_40/image_127_40.00.png, k16/lidar/lidar_rng_left_00000_8bit_x6d6.png
k16/left/exp_50/image_135_50.00.png, k16/left/exp_50/image_127_50.00.png, k16/lidar/lidar_rng_left_00000_8bit_x6d6.png
k16/left/exp_60/image_135_60.00.png, k16/left/exp_60/image_127_60.00.png, k16/lidar/lidar_rng_left_00000_8bit_x6d6.png
k16/left/exp_70/image_135_70.00.png, k16/left/exp_70/image_127_70.00.png, k16/lidar/lidar_rng_left_00000_8bit_x6d6.png
#------------------------------------------------------
k17/left/exp_10/image_135_10.00.png, k17/left/exp_10/image_127_10.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_20/image_135_20.00.png, k17/left/exp_20/image_127_20.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_30/image_135_30.00.png, k17/left/exp_30/image_127_30.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_40/image_135_40.00.png, k17/left/exp_40/image_127_40.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_50/image_135_50.00.png, k17/left/exp_50/image_127_50.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
k17/left/exp_60/image_135_60.00.png, k17/left/exp_60/image_127_60.00.png, k17/lidar/lidar_rng_left_00000_8bit_x6d6.png
